url,product_id,ref,main_title,description,full_path,color,current_price,previous_price,available_sizes,all_sizes,images,outlet_color,excluweb_color,material,brand,discounted,Category,Color,Material
['https://www.net-a-porter.com/en-us/shop/product/max-mara/clothing/straight-leg/verbano-cropped-pleated-wool-blend-straight-leg-pants/1647597341004751'],1647597341004751,1647597341004751,verbano cropped pleated wool-blend straight-leg pants,"max mara's tailoring showcases the brand's commitment to fine italian craftsmanship. cut from smooth wool-blend, these 'verbano' pants are sharply pleated for a loose fit before tapering at the cropped hems. wear yours as a set with the matching blazer.",[['Max Mara']],black,438.0,875.0,"['10', '16']","['4', '6', '12', '14', '16', '10', '8']","['https://www.net-a-porter.com/variants/images/1647597341004751/in/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597341004751/ou/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597341004751/bk/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597341004751/cu/w600_q80.jpg']",False,False,"Black woolblend   Concealed hook, button and zip fastening at front   96% wool, 4% elastane   Dry clean",max mara,True,Pants,black,wool blend
['https://www.net-a-porter.com/en-us/shop/product/max-mara/clothing/vests-and-gilets/plava-double-breasted-wool-and-cashmere-blend-vest/1647597330182792'],1647597330182792,1647597330182792,plava double-breasted wool and cashmere-blend vest,"max mara's 'plava' vest is sharply tailored with a double-breasted front. this longline style is made from wool and cashmere-blend, so id both refined and warm. wear yours over workwear for an outfit that means business.",[['Max Mara']],black,1734.0,2890.0,"['6', '10', '16']","['4', '6', '12', '14', '16', '10', '8']","['https://www.net-a-porter.com/variants/images/1647597330182792/in/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597330182792/ou/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597330182792/fr/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597330182792/bk/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597330182792/cu/w600_q80.jpg']",False,False,"Black wool and cashmereblend  Button fastenings through doublebreasted front  90% wool, 10% cashmere; buttons: 100% horn (Cow)  Dry clean",max mara,True,Vests,black,wool and cashmere blend
['https://www.net-a-porter.com/en-us/shop/product/max-mara/bags/cross-body/marine-small-leather-trimmed-wool-and-silk-blend-tote/1647597341004757'],1647597341004757,1647597341004757,marine small leather-trimmed wool and silk-blend tote,"max mara’s ‘marine’ tote is made from the same fluffy wool and silk-blend fabric as the brand's signature 'teddy bear' coats. perfect for winter, it has tubular supple leather trims and a detachable shoulder strap so you can go hands-free. the faux suede-lined interior offers plenty of space for your phone, cardholder and mints.",[['Max Mara']],camel,459.0,765.0,['One size'],['One size'],"['https://www.net-a-porter.com/variants/images/1647597341004757/in/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597341004757/ou/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597341004757/bk/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597341004757/cu/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597341004757/e1/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597341004757/e2/w600_q80.jpg']",False,False,"Brown camelwool and silkblend and leather  Two top handles, detachable shoulder strap   Two internal slip pockets   Faux suede lining   Magnetic fastening front flap",max mara,True,Bags,camel,wool and silk blend and leather
['https://www.net-a-porter.com/en-us/shop/product/max-mara/clothing/round-neck/warren-silk-and-cashmere-blend-top/1647597337803088'],1647597337803088,1647597337803088,warren silk and cashmere-blend top,"max mara's 'warren' top may be pared-back in design but it's crafted with meticulous attention to cut and fabric. knitted from soft silk and cashmere-blend, it has a slim fit defined by ribbed trims. tuck yours into tailoring or a tonal skirt.",[['Max Mara']],baby pink,452.0,645.0,"['x large', 'x small', 'small']","['medium', 'small', 'large', 'x small', 'x large', 'xx large']","['https://www.net-a-porter.com/variants/images/1647597337803088/in/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597337803088/ou/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597337803088/bk/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597337803088/cu/w600_q80.jpg']",False,False,"Blush silk and cashmereblend  Slips on  55% silk, 45% cashmere  Hand wash or dry clean  Designer color: Powder",max mara,True,Tops,baby pink,silk and cashmere blend
['https://www.net-a-porter.com/en-us/shop/product/max-mara/clothing/trench-coats/lana-double-breasted-velvet-trench-coat/1647597341004703'],1647597341004703,1647597341004703,lana double-breasted velvet trench coat,"an elegant update on the traditional trench coat, max mara's style is cut from plush velvet. it has a double-breasted profile accented by two rows of glossy buttons and comes with a thick, tonal belt that can be left untied for a more laidback look.",[['Max Mara']],black,1590.0,2650.0,['14'],"['10', '12', '8', '4', '6', '14']","['https://www.net-a-porter.com/variants/images/1647597341004703/in/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597341004703/ou/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597341004703/bk/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597341004703/cu/w600_q80.jpg']",False,False,Black velvet  Button fastenings through doublebreasted front  Dry clean,max mara,True,Outerwear,black,velvet
['https://www.net-a-porter.com/en-us/shop/product/max-mara/clothing/blazers/suez-oversized-wool-blend-blazer/1647597341004731'],1647597341004731,1647597341004731,suez oversized wool-blend blazer,max mara's 'suez' blazer is tailored from wool-blend and has an oversized silhouette that's enhanced by its padded shoulders. team yours with the matching pants or mini dress.,[['Max Mara']],black,1194.0,1990.0,"['12', '14']","['6', '12', '14', '10', '8']","['https://www.net-a-porter.com/variants/images/1647597341004731/in/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597341004731/ou/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597341004731/fr/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597341004731/bk/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597341004731/cu/w600_q80.jpg']",False,False,"Black woolblend  Button fastenings through front  96% wool, 4% elastane; lining: 68% acetate, 32% polyester  Dry clean",max mara,True,Blazers,black,wool blend
['https://www.net-a-porter.com/en-us/shop/product/max-mara/clothing/bikini-tops/beachwear-anika-bikini-top/1647597330148762'],1647597330148762,1647597330148762,beachwear anika bikini top,"elegance is at the heart of every max mara collection, and the brand's 'beachwear' line is no different. this 'anika' bikini top is cut from smooth stretch fabric that's comfortable and quick-drying. it ties at the neck and back and has a supportive underband.",[['Max Mara']],brown,96.0,160.0,"['x small', 'x large']","['medium', 'large', 'x large', 'small', 'x small']","['https://www.net-a-porter.com/variants/images/1647597330148762/in/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597330148762/fr/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597330148762/bk/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597330148762/cu/w600_q80.jpg']",False,False,"Darkbrown stretchpolyamide  Ties at back and at neck   90% polyamide, 10% elastane  Hand wash  Lotion, sunscreen, oil and chlorine can cause discoloration of this item; this is not a manufacturing defect. Please follow care instructions to keep your swimwear in the best condition",max mara,True,Swimwear,brown,stretch polyamide
['https://www.net-a-porter.com/en-us/shop/product/max-mara/clothing/midi-dresses/odessa-wrap-effect-wool-dress/1647597330182779'],1647597330182779,1647597330182779,odessa wrap-effect wool dress,"max mara's 'odessa' dress combines the look of a blazer and coordinating pencil skirt in one sharp design. made from wool, it has a wrap-effect bodice highlighted by peak lapels and is defined at the waist, which features belt loops. padded shoulders add structure.",[['Max Mara']],beige,745.0,1490.0,"['8', '10', '12', '14', '16']","['4', '6', '12', '14', '16', '10', '8']","['https://www.net-a-porter.com/variants/images/1647597330182779/in/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597330182779/ou/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597330182779/bk/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597330182779/cu/w600_q80.jpg']",False,False,"Beige wool  Concealed snaps and zip fastening at front  100% wool; lining: 95% acetate, 5% elastane  Dry clean",max mara,True,Dresses,beige,wool
['https://www.net-a-porter.com/en-us/shop/product/max-mara/clothing/round-neck/berlina-cable-knit-cashmere-sweater/1647597330182796'],1647597330182796,1647597330182796,berlina cable-knit cashmere sweater,max mara's 'berlina' sweater has been knitted in italy from wonderfully soft cashmere - the timeless white shade will complement everything from warm neutrals to bold pops of color. it has classic cables along the sleeves.<br><br>discover how to expertly care for your knitwear <a href=”https://www.net-a-porter.com/en-gb/porter/article-2d7c3f487b11919c/fashion/fashion-memo/knitwear-care-repair“>here.</a>,[['Max Mara']],white,545.0,1090.0,['xx large'],"['medium', 'small', 'large', 'x small', 'x large', 'xx large']","['https://www.net-a-porter.com/variants/images/1647597330182796/in/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597330182796/ou/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597330182796/bk/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597330182796/cu/w600_q80.jpg']",False,False,White cashmere  Slips on  100% cashmere  Hand wash,max mara,True,Knitwear,white,cashmere
['https://www.net-a-porter.com/en-us/shop/product/max-mara/clothing/round-neck/leisure-diretta-open-knit-cotton-and-linen-blend-sweater/1647597330163013'],1647597330163013,1647597330163013,leisure diretta open-knit cotton and linen-blend sweater,"max mara's 'leisure' line is full of elegant staples, like this 'diretta' sweater. it's knitted from airy cotton and linen-blend with an open stitch, revealing a hint of skin underneath while enhancing its lightness.",[['Max Mara']],red,225.0,375.0,"['x small', 'x large']","['medium', 'large', 'x large', 'small', 'x small']","['https://www.net-a-porter.com/variants/images/1647597330163013/in/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597330163013/ou/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597330163013/bk/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597330163013/cu/w600_q80.jpg']",False,False,"Rust cotton and linenblend  Slips on  66% cotton, 34% linen  Hand wash or dry clean  Designer color: Terracotta",max mara,True,Dresses,red,cotton and linen blend
['https://www.net-a-porter.com/en-us/shop/product/max-mara/clothing/short/the-cube-leo-hooded-quilted-shell-coat/1647597354715050'],1647597354715050,1647597354715050,the cube leo hooded quilted shell coat,"max mara's 'leo' coat is the kind you'll still be wearing in years to come. made from quilted shell, it's filled with camel wool for warmth and has a roomy hood.",[['Max Mara']],gray,1245.0,1245.0,"['4', '10', '14', '8']","['10', '12', '8', '4', '6', '18', '16', '14']","['https://www.net-a-porter.com/variants/images/1647597354715050/in/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597354715050/ou/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597354715050/fr/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597354715050/bk/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597354715050/cu/w600_q80.jpg']",False,False,"Gray shell  Zip fastening through front  100% polyester; filling: 48% camel hair, 48% polyester, 4% silk  Dry clean",max mara,False,Outerwear,gray,shell
['https://www.net-a-porter.com/en-us/shop/product/max-mara/clothing/casual-jackets/the-cube-hooded-padded-shell-jacket/1647597354715051'],1647597354715051,1647597354715051,the cube hooded padded shell jacket,max mara's jacket is part of its 'cube' line of elevated puffer styles. it's made from shell that's lightly padded for warmth and accented with gold tone-tipped drawstrings.,[['Max Mara']],cream,895.0,895.0,"['2', '4', '6', '8', '10', '12', '16']","['4', '18', '6', '12', '14', '16', '2', '10', '8']","['https://www.net-a-porter.com/variants/images/1647597354715051/in/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597354715051/ou/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597354715051/fr/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597354715051/bk/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597354715051/cu/w600_q80.jpg']",False,False,Cream shell  Zip fastening through front  100% polyamide; lining: 100% polyester  Dry clean,max mara,False,Jackets,cream,shell
['https://www.net-a-porter.com/en-us/shop/product/max-mara/clothing/blouses/markus-one-shoulder-ruffled-knitted-top/1647597337802651'],1647597337802651,1647597337802651,markus one-shoulder ruffled knitted top,max mara's ‘markus’ top is knitted in a one-shoulder design with a subtly ruffled ribbed trim along the sleeve. it will look so elegant tucked into a midi skirt or tailored pants.,[['Max Mara']],black,387.0,645.0,"['x small', 'large', 'x large']","['medium', 'xx large', 'x large', 'large', 'small', 'x small']","['https://www.net-a-porter.com/variants/images/1647597337802651/in/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597337802651/ou/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597337802651/bk/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597337802651/cu/w600_q80.jpg']",False,False,"Black viscose and polyesterblend  Slips on  62% viscose, 38% polyester  Hand wash",max mara,True,Tops,black,viscose and polyester blend
['https://www.net-a-porter.com/en-us/shop/product/max-mara/clothing/casual-jackets/the-cube-hooded-quilted-shell-down-jacket/1647597330148894'],1647597330148894,1647597330148894,the cube hooded quilted shell down jacket,"max mara's jacket is part of the label's innovative 'the cube' collection. made from shell, it's filled with down and quilted to distribute warmth evenly and has a generous hood with grosgrain drawstrings.",[['Max Mara']],brown,683.0,1365.0,"['6', '18']","['10', '2', '12', '8', '4', '6', '18', '16', '14']","['https://www.net-a-porter.com/variants/images/1647597330148894/in/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597330148894/ou/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597330148894/fr/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597330148894/bk/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597330148894/cu/w600_q80.jpg']",False,False,"Brown shell   Button fastenings through front   100% polyamide; filling: 90% down, 10% feathers (Goose)  Machine wash<br><br>Small to size. See Size & Fit notes.",max mara,True,Jackets,brown,shell
['https://www.net-a-porter.com/en-us/shop/product/max-mara/clothing/midi-dresses/saio-belted-cotton-poplin-shirt-dress/1647597304061602'],1647597304061602,1647597304061602,saio belted cotton-poplin shirt dress,the utilitarian heritage of shirt dresses makes them both practical and easy to style - you don't need to think about pairing separates. max mara's 'saio' version is cut from cotton-poplin and has a buckled belt and cuffs like traditional trench coats. the soft yellow hue makes a refreshing change from other neutrals.,[['Max Mara']],pastel yellow,398.0,995.0,['12'],"['4', '18', '6', '12', '14', '16', '10', '8']","['https://www.net-a-porter.com/variants/images/1647597304061602/in/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597304061602/ou/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597304061602/bk/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597304061602/cu/w600_q80.jpg']",False,False,Pastelyellow cottonpoplin  Concealed button fastenings through front  100% cotton  Machine wash,max mara,True,Dresses,pastel yellow,cotton poplin
['https://www.net-a-porter.com/en-us/shop/product/max-mara/clothing/casual-jackets/seico-cropped-shell-jacket/1647597341004707'],1647597341004707,1647597341004707,seico cropped shell jacket,"max mara's 'the cube' line lends a modern eye to classic puffer jackets. this 'seico' style is made from soft, padded shell and has a cropped hem and sleeves.",[['Max Mara']],black,567.0,945.0,['8'],"['4', '6', '8', '12']","['https://www.net-a-porter.com/variants/images/1647597341004707/in/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597341004707/ou/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597341004707/bk/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597341004707/cu/w600_q80.jpg']",False,False,Black shell  Snap fastenings through front  100% polyester  Machine wash or dry clean<br><br>Small to size. See Size & Fit notes.,max mara,True,Jackets,black,shell
['https://www.net-a-porter.com/en-us/shop/product/max-mara/clothing/tanks-and-camis/leisure-teulada-belted-crinkled-plisse-jersey-tunic/1647597316986890'],1647597316986890,1647597316986890,leisure teulada belted crinkled plissé-jersey tunic,max mara effortlessly finds the balance between understated and modern. this 'teulada' tunic is made from the same crinkled plissé-jersey as the matching pants in our curated edit. it's detailed with slim ties.,[['Max Mara']],black,106.0,265.0,"['x small', 'small', 'large']","['medium', 'x large', 'large', 'small', 'x small']","['https://www.net-a-porter.com/variants/images/1647597316986890/in/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597316986890/ou/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597316986890/fr/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597316986890/bk/w600_q80.jpg', 'https://www.net-a-porter.com/variants/images/1647597316986890/cu/w600_q80.jpg']",False,False,Black crinkled plisséjersey  Slips on  100% polyester  Hand wash,max mara,True,Tops,black,plissé jersey
