url,product_id,ref,main_title,description,full_path,color,current_price,previous_price,available_sizes,all_sizes,images,outlet_color,excluweb_color,material,brand,discounted
['https://us.maxmara.com/p-5491015106005-erio-beige'],5491015106005,5491015106,water-repellent fabric padded parka,"padded and quilted midi parka in water-repellent technical fabric. the straight-fit model boasts a crew neckline with a removable drawstring hood, welt side pockets and long sleeves with slightly dropped shoulders. small side slit-embellished rounded hem. press-stud fastening.","[['Homepage', 'Coats and Jackets', 'Coats and Jackets', 'Padded coats', 'Padded coats', 'Water-repellent fabric padded parka']]",beige,550.0,550.0,"['4', '6', '12', '0', '16', '8', '2', '10', '14']","['4', '6', '12', '0', '16', '8', '10', '2', '14']","['https://b2c-media.maxmara.com/sys-master/m0/MM/2025/1/5491015106/005/s3master/5491015106005-a-erio_normal.jpg#product', 'https://b2c-media.maxmara.com/sys-master/m0/MM/2025/1/5491015106/005/s3details/5491015106005-b-erio_normal.jpg#product', 'https://b2c-media.maxmara.com/sys-master/m0/MM/2025/1/5491015106/005/s3details/5491015106005-d-erio_normal.jpg#product', 'https://b2c-media.maxmara.com/sys-master/m0/MM/2025/1/5491015106/005/s3details/5491015106005-e-erio_normal.jpg#product', 'https://b2c-media.maxmara.com/sys-master/m0/MM/2025/1/5491015106/005/s3details/5491015106005-f-erio_normal.jpg#product']",False,False,Fabric 100% polyester; with quilting in 100% polyester; lining 100% polyester; - exclusive of decoration.,weekend max mara,False
['https://us.maxmara.com/p-1366084106005-markus-black'],1366084106005,1366084106,one-shoulder viscose jumper,"one-shoulder jumper in stretch viscose yarn, with a characteristic rice grain texture. feminine style with a fitted silhouette, embellished with a frill motif on the right sleeve, high-waist band and ribbed edges.","[['Homepage', 'Clothing', 'Clothing', 'Knitwear', 'Knitwear', 'One-shoulder viscose jumper']]",black,451.0,645.0,"['XS', 'S', 'L', 'M', 'XL']","['XS', 'S', 'L', 'M', '2XL', 'XL']","['https://b2c-media.maxmara.com/sys-master/m0/MM/2024/2/1366084106/005/s3master/1366084106005-a-markus_normal.jpg#product', 'https://b2c-media.maxmara.com/sys-master/m0/MM/2024/2/1366084106/005/s3details/1366084106005-b-markus_normal.jpg#product', 'https://b2c-media.maxmara.com/sys-master/m0/MM/2024/2/1366084106/005/s3details/1366084106005-d-markus_normal.jpg#product', 'https://b2c-media.maxmara.com/sys-master/m0/MM/2024/2/1366084106/005/s3details/1366084106005-e-markus_normal.jpg#product']",False,False,"62% viscose, 38% polyester.",max mara,True
['https://us.maxmara.com/p-1086074206001-dramma-camel'],1086074206001,1086074206,short teddy bear icon coat,"teddy coat made of iconic camel teddy fabric on a silk base, available in a new short above-the-knee version. the classic style’s oversized fit and details are repeated: large lapel collar, low-set sleeves and vertical welt pockets. double-breasted style, closed with visible buttons.","[['Homepage', 'Coats and Jackets', 'Coats and Jackets', 'Coats', 'Coats', 'Short Teddy Bear Icon Coat']]",camel,3690.0,3690.0,"['XS', 'S', 'M', 'L']","['XS', 'L', 'S', 'M']","['https://b2c-media.maxmara.com/sys-master/m0/MM/2024/2/1086074206/001/s3master/1086074206001-a-dramma_normal.jpg#product', 'https://b2c-media.maxmara.com/sys-master/m0/MM/2024/2/1086074206/001/s3details/1086074206001-b-dramma_normal.jpg#product', 'https://b2c-media.maxmara.com/sys-master/m0/MM/2024/2/1086074206/001/s3details/1086074206001-d-dramma_normal.jpg#product', 'https://b2c-media.maxmara.com/sys-master/m0/MM/2024/2/1086074206/001/s3details/1086074206001-e-dramma_normal.jpg#product', 'https://b2c-media.maxmara.com/sys-master/m0/MM/2024/2/1086074206/001/s3details/1086074206001-f-dramma_normal.jpg#product']",False,False,"Jersey fabric 88% camelwool, 12% silk; lining 100% viscose.",max mara,False
['https://us.maxmara.com/p-1016014206001-manuela-camel'],1016014206001,1016014206,manuela icon coat,"since 1998, the manuela wrap coat in pure camel hair  designed by anne-marie beretta has been telling the story of max mara. a story about a passion for quality and laid-back luxury to wear every day. now considered an icon, the style transcends the seasons to become timeless.
  
      made of pure zibeline camel hair drap 
 
      straight cut 
 
      finished with tailored binding 
 
      wide lapel collar with double-use button 
 
      shirt-style armholes with kimono sleeves 
 
      inset pockets in the side slits 
 
      matching belt 
 
      branded lining 
 
      length: 115 cm / 45 inches","[['Homepage', 'Coats and Jackets', 'Coats and Jackets', 'Coats', 'Coats', 'Manuela Icon Coat']]",camel,3650.0,3650.0,"['4', '6', '12', '0', '16', '8', '2', '10', '14']","['4', '6', '12', '0', '16', '8', '10', '2', '14']","['https://b2c-media.maxmara.com/sys-master/m0/MM/2024/2/1016014206/001/s3master/1016014206001-a-manuela_normal.jpg#product', 'https://b2c-media.maxmara.com/sys-master/m0/MM/2024/2/1016014206/001/s3details/1016014206001-b-manuela_normal.jpg#product', 'https://b2c-media.maxmara.com/sys-master/m0/MM/2024/2/1016014206/001/s3details/1016014206001-d-manuela_normal.jpg#product', 'https://b2c-media.maxmara.com/sys-master/m0/MM/2024/2/1016014206/001/s3details/1016014206001-e-manuela_normal.jpg#product', 'https://b2c-media.maxmara.com/sys-master/m0/MM/2024/2/1016014206/001/s3details/1016014206001-f-manuela_normal.jpg#product']",False,False,Fabric 100% camelwool; lining 100% viscose.,max mara,False
['https://us.maxmara.com/p-2191045106022-conio-light-blue'],2191045106022,2191045106,striped poplin shirt,"striped pure cotton poplin shirt with a covered button placket and double-height cuffs. the silhouette is clean and fitted, with yokes on the shoulders and simple stitching that highlights the construction. rounded hem. regular fit.","[['Homepage', 'Clothing', 'Clothing', 'Blouses', 'Blouses', 'Striped poplin shirt']]",blue,450.0,450.0,"['4', '6', '12', '0', '8', '2', '10', '14']","['4', '6', '12', '0', '8', '10', '2', '14']","['https://b2c-media.maxmara.com/sys-master/m0/MM/2025/1/2191045106/022/s3master/2191045106022-a-conio_normal.jpg#product', 'https://b2c-media.maxmara.com/sys-master/m0/MM/2025/1/2191045106/022/s3details/2191045106022-b-conio_normal.jpg#product', 'https://b2c-media.maxmara.com/sys-master/m0/MM/2025/1/2191045106/022/s3details/2191045106022-d-conio_normal.jpg#product', 'https://b2c-media.maxmara.com/sys-master/m0/MM/2025/1/2191045106/022/s3details/2191045106022-e-conio_normal.jpg#product']",False,False,100% cotton.,sportmax,False
['https://us.maxmara.com/p-1041085106001-randers-albino'],1041085106001,1041085106,"soft wool, silk and cashmere jacket","relaxed-fit unstructured jacket made from luxurious mélange wool, silk and cashmere batavia. the construction features a peak lapel collar, double-welt pockets with applied flap on the front and long set-in sleeves with four buttons on the cuffs. lined in stretch monogram fabric and finished with central vent on the back. slip-on styling with a matching belt at the waist that accentuates the silhouette.","[['Homepage', 'Coats and Jackets', 'Coats and Jackets', 'Jackets and blazers ', 'Jackets and blazers ', 'Soft wool, silk and cashmere jacket']]",albino,1990.0,1990.0,"['4', '6', '12', '16', '8', '10', '2', '14']","['4', '6', '12', '0', '16', '8', '10', '2', '14']","['https://b2c-media.maxmara.com/sys-master/m0/MM/2025/1/1041085106/001/s3master/1041085106001-a-randers_normal.jpg#product', 'https://b2c-media.maxmara.com/sys-master/m0/MM/2025/1/1041085106/001/s3details/1041085106001-b-randers_normal.jpg#product', 'https://b2c-media.maxmara.com/sys-master/m0/MM/2025/1/1041085106/001/s3details/1041085106001-d-randers_normal.jpg#product', 'https://b2c-media.maxmara.com/sys-master/m0/MM/2025/1/1041085106/001/s3details/1041085106001-e-randers_normal.jpg#product']",False,False,"Fabric 55% virgin wool, 30% silk, 15% cashmere; lining 65% acetate, 35% polyester.",max mara,False
['https://us.maxmara.com/p-1366134206007-radames-hazelnut-brown'],1366134206007,1366134206,off-the-shoulder wool and cashmere jumper,"women’s jumper made from luxurious wool and cashmere blend yarn, featuring a broad, round neckline that can be styled off-shoulder to reveal the shoulders. straight-line garment with long raglan sleeves and ribbed edges.","[['Homepage', 'Clothing', 'Clothing', 'Knitwear', 'Knitwear', 'Off-the-shoulder wool and cashmere jumper']]",brown,696.0,995.0,"['XS', 'S', 'L', 'M', 'XL']","['XS', 'S', 'L', 'M', '2XL', 'XL']","['https://b2c-media.maxmara.com/sys-master/m0/MM/2024/2/1366134206/007/s3master/1366134206007-a-radames_normal.jpg#product', 'https://b2c-media.maxmara.com/sys-master/m0/MM/2024/2/1366134206/007/s3details/1366134206007-b-radames_normal.jpg#product', 'https://b2c-media.maxmara.com/sys-master/m0/MM/2024/2/1366134206/007/s3details/1366134206007-d-radames_normal.jpg#product']",False,False,"70% wool, 30% cashmere.",max mara,True
['https://us.maxmara.com/p-5621075106002-orata-lilac'],5621075106002,5621075106,flowing jersey and silk dress,"short dress in soft and fluid interlock jersey fabric featuring loose-fitting silk crepe de chine sleeves and an all-over print.  the slightly flared model boasts a crew neckline, 3/4 raglan sleeves and gathered drawstring cuffs.","[['Homepage', 'Clothing', 'Clothing', 'Dresses', 'Dresses', 'Flowing jersey and silk dress']]",lilac,385.0,385.0,"['XS', 'S', 'L', 'M', '2XL', 'XL']","['XS', 'S', 'L', 'M', '2XL', 'XL']","['https://b2c-media.maxmara.com/sys-master/m0/MM/2025/1/5621075106/002/s3master/5621075106002-a-orata_normal.jpg#product', 'https://b2c-media.maxmara.com/sys-master/m0/MM/2025/1/5621075106/002/s3details/5621075106002-b-orata_normal.jpg#product', 'https://b2c-media.maxmara.com/sys-master/m0/MM/2025/1/5621075106/002/s3details/5621075106002-d-orata_normal.jpg#product']",False,False,"Jersey fabric 79% viscose, 19% polyamide, 2% elastane; sleeves 100% silk.",weekend max mara,False
['https://us.maxmara.com/p-5971035106014-satrapo-pastel-green'],5971035106014,5971035106,jersey crew-neck t-shirt,straight-fit short-sleeved crew-neck t-shirt in soft pure cotton jersey fabric. embellished with small side slits at the hem and embroidered butterfly logo detail on the chest.,"[['Homepage', 'Clothing', 'Clothing', 'Tops and t-shirts', 'Tops and t-shirts', 'Jersey crew-neck T-shirt']]",green,145.0,145.0,"['XS', 'S', 'L', 'M', '2XL', 'XL']","['XS', 'S', 'L', 'M', '2XL', 'XL']","['https://b2c-media.maxmara.com/sys-master/m0/MM/2025/1/5971035106/014/s3master/5971035106014-a-satrapo_normal.jpg#product', 'https://b2c-media.maxmara.com/sys-master/m0/MM/2025/1/5971035106/014/s3details/5971035106014-b-satrapo_normal.jpg#product', 'https://b2c-media.maxmara.com/sys-master/m0/MM/2025/1/5971035106/014/s3details/5971035106014-d-satrapo_normal.jpg#product', 'https://b2c-media.maxmara.com/sys-master/m0/MM/2025/1/5971035106/014/s3details/5971035106014-e-satrapo_normal.jpg#product']",False,False,Jersey fabric 100% cotton; - exclusive of embroideries.,weekend max mara,False
['https://us.maxmara.com/p-5226104106001-revere-light-blue'],5226104106001,5226104106,printed silk t-shirt dress,"t-shirt-style midi dress in fine printed pure silk crepe de chine fabric featuring a figure-skimming straight fit, in addition to a crew neckline and short sleeves. embellished with in-seam side pockets. small button-fastening keyhole detail at the back.","[['Homepage', 'Clothing', 'Clothing', 'Dresses', 'Dresses', 'Printed silk T-shirt dress']]",blue,362.0,725.0,"['4', '6', '8', '10', '2']","['4', '6', '12', '0', '16', '8', '10', '2', '14']","['https://b2c-media.maxmara.com/sys-master/m0/MM/2024/2/5226104106/001/s3master/5226104106001-a-revere_normal.jpg#product', 'https://b2c-media.maxmara.com/sys-master/m0/MM/2024/2/5226104106/001/s3details/5226104106001-b-revere_normal.jpg#product', 'https://b2c-media.maxmara.com/sys-master/m0/MM/2024/2/5226104106/001/s3details/5226104106001-d-revere_normal.jpg#product']",False,False,100% silk.,weekend max mara,True
['https://us.maxmara.com/p-5046054106002-lamine-black'],5046054106002,5046054106,natural stretch wool blazer,"single-breasted blazer in fine natural stretch pure wool fabric featuring a fitted waist and central rear vent. the tailoring-inspired lined model boasts a lapel collar, breast pocket and flap-adorned front pockets. one-button fastening.","[['Homepage', 'Clothing', 'Clothing', 'Suits', 'Suits', 'Natural stretch wool blazer']]",black,337.0,675.0,['14'],"['4', '6', '12', '0', '16', '8', '10', '2', '14']","['https://b2c-media.maxmara.com/sys-master/m0/MM/2024/2/5046054106/002/s3master/5046054106002-a-lamine_normal.jpg#product', 'https://b2c-media.maxmara.com/sys-master/m0/MM/2024/2/5046054106/002/s3details/5046054106002-b-lamine_normal.jpg#product', 'https://b2c-media.maxmara.com/sys-master/m0/MM/2024/2/5046054106/002/s3details/5046054106002-d-lamine_normal.jpg#product', 'https://b2c-media.maxmara.com/sys-master/m0/MM/2024/2/5046054106/002/s3details/5046054106002-e-lamine_normal.jpg#product']",False,False,Fabric 100% virgin wool; lining 100% polyester.,weekend max mara,True
['https://us.maxmara.com/p-1111015106001-uvina-optical-white'],1111015106001,1111015106,stretch cotton shirt,"long-sleeved shirt made in a fine, stretch cotton fabric. men's-inspired style with a classic pointed collar, wide cuffs with cufflink button and rounded side slits at the hem. it is customised with an m monogram embroidered on the left side chest patch pocket and mother-of-pearl heart buttons. finished with yoke seam and central pleat on the back. concealed button fastening.","[['Homepage', 'Clothing', 'Clothing', 'Blouses', 'Blouses', 'Stretch cotton shirt']]",white,795.0,795.0,"['6', '12', '16', '8', '10', '2']","['4', '6', '12', '0', '16', '8', '10', '2', '14']","['https://b2c-media.maxmara.com/sys-master/m0/MM/2025/1/1111015106/001/s3master/1111015106001-a-uvina_normal.jpg#product', 'https://b2c-media.maxmara.com/sys-master/m0/MM/2025/1/1111015106/001/s3details/1111015106001-b-uvina_normal.jpg#product', 'https://b2c-media.maxmara.com/sys-master/m0/MM/2025/1/1111015106/001/s3details/1111015106001-d-uvina_normal.jpg#product', 'https://b2c-media.maxmara.com/sys-master/m0/MM/2025/1/1111015106/001/s3details/1111015106001-e-uvina_normal.jpg#product', 'https://b2c-media.maxmara.com/sys-master/m0/MM/2025/1/1111015106/001/s3details/1111015106001-f-uvina_normal.jpg#product']",False,False,"Fabric 97% cotton, 3% elastane; - exclusive of embroideries.",max mara,False
['https://us.maxmara.com/p-1018014106003-madame-black'],1018014106003,1018014106,101801 icon coat,"an icon of current, contemporary design. the 101801 coat was designed by anne-marie beretta in 1981 and has been the best-known max mara garment in the world ever since. perfect proportions and an oversized line with kimono sleeves make the style timeless.
  
     made from cashmere and beaver wool
 
     embellished with tailored pick stitch
 
     lapel collar
 
     kimono sleeves that can be turned up to adjust the length
 
     welt pockets
 
     matching inner belt
 
     branded lining with dedicated label
 
     oversized fit that even works over a blazer
 
     horn buttons
 
     length: 120 cm / 47 inches
 
     the item comes with a wooden hanger and branded canvas cover","[['Homepage', 'Coats and Jackets', 'Coats and Jackets', 'Coats', 'Coats', '101801 Icon Coat']]",black,4350.0,4350.0,"['4', '6', '12', '0', '16', '8', '2', '10', '14']","['4', '6', '12', '0', '16', '8', '10', '2', '14']","['https://b2c-media.maxmara.com/sys-master/m0/MM/2024/2/1018014106/003/s3master/1018014106003-a-madame_normal.jpg#product', 'https://b2c-media.maxmara.com/sys-master/m0/MM/2024/2/1018014106/003/s3details/1018014106003-b-madame_normal.jpg#product', 'https://b2c-media.maxmara.com/sys-master/m0/MM/2024/2/1018014106/003/s3details/1018014106003-d-madame_normal.jpg#product', 'https://b2c-media.maxmara.com/sys-master/m0/MM/2024/2/1018014106/003/s3details/1018014106003-e-madame_normal.jpg#product', 'https://b2c-media.maxmara.com/sys-master/m0/MM/2024/2/1018014106/003/s3details/1018014106003-f-madame_normal.jpg#product']",False,False,"Fabric 90% virgin wool, 10% cashmere; lining 98% cupro, 1% metallised fiber, 1% viscose.",max mara,False
